Gly (mol/L),DMSO (mol/L),PG (mol/L),EG (mol/L),FA (mol/L),Exp Time (min),Temp (°C),Cell Viab (%)
0.0,0.0,0.0,0.0,0.0,5,23.9,1.0672563952969
0.0,0.0,0.0,0.0,0.0,5,23.9,0.97670087233233
0.0,0.0,0.0,0.0,0.0,5,23.9,0.95431161208384
0.0,0.0,0.0,0.0,0.0,5,23.9,0.91876820807815
0.0,0.0,0.0,0.0,0.0,5,23.9,1.0829629122088
0.0,0.0,0.0,0.0,0.0,10,26.6,0.88838128132522
0.0,0.0,0.0,0.0,0.0,10,26.6,0.95500898032334
0.0,0.0,0.0,0.0,0.0,10,26.6,0.99690316381508
0.0,0.0,0.0,0.0,0.0,10,26.6,1.100870360966
0.0,0.0,0.0,0.0,0.0,10,26.6,1.0588362135704
0.0,0.0,0.0,0.0,0.0,30,26.8,0.86922754884194
0.0,0.0,0.0,0.0,0.0,30,26.8,0.83256106141579
0.0,0.0,0.0,0.0,0.0,30,26.8,1.3292037149367
0.0,0.0,0.0,0.0,0.0,30,26.8,1.1562783557163
0.0,0.0,0.0,0.0,0.0,30,26.8,0.81272931908929
0.0,0.0,0.0,0.0,0.0,60,26.8,0.92183919521905
0.0,0.0,0.0,0.0,0.0,60,26.8,1.0417858591143
0.0,0.0,0.0,0.0,0.0,60,26.8,1.0631586478011
0.0,0.0,0.0,0.0,0.0,60,26.8,0.91986870736955
0.0,0.0,0.0,0.0,0.0,60,26.8,1.053347590496
0.0,0.0,0.0,0.0,0.0,5,24.9,1.0691692896281
0.0,0.0,0.0,0.0,0.0,5,24.9,0.96778031586886
0.0,0.0,0.0,0.0,0.0,5,24.9,0.95444043521094
0.0,0.0,0.0,0.0,0.0,5,24.9,0.95353925652199
0.0,0.0,0.0,0.0,0.0,5,24.9,1.0550707027701
0.0,0.0,0.0,0.0,0.0,10,25.5,0.8273841847367
0.0,0.0,0.0,0.0,0.0,10,25.5,0.90146498505754
0.0,0.0,0.0,0.0,0.0,10,25.5,1.0619035705549
0.0,0.0,0.0,0.0,0.0,10,25.5,1.2351802219566
0.0,0.0,0.0,0.0,0.0,10,25.5,0.97406703769423
0.0,0.0,0.0,0.0,0.0,30,25,0.97998515243215
0.0,0.0,0.0,0.0,0.0,30,25,0.85055528934167
0.0,0.0,0.0,0.0,0.0,30,25,0.94139540934268
0.0,0.0,0.0,0.0,0.0,30,25,1.1491542467875
0.0,0.0,0.0,0.0,0.0,30,25,1.078909902096
0.0,0.0,0.0,0.0,0.0,60,24.9,0.99645957497282
0.0,0.0,0.0,0.0,0.0,60,24.9,1.044790970223
0.0,0.0,0.0,0.0,0.0,60,24.9,0.93016663739083
0.0,0.0,0.0,0.0,0.0,60,24.9,1.1168361860834
0.0,0.0,0.0,0.0,0.0,60,24.9,0.91174663132991
0.0,0.0,0.0,0.0,0.0,5,22.9,1.0996735301528
0.0,0.0,0.0,0.0,0.0,5,22.9,0.95920743651855
0.0,0.0,0.0,0.0,0.0,5,22.9,0.93227780801105
0.0,0.0,0.0,0.0,0.0,5,22.9,0.97130407605167
0.0,0.0,0.0,0.0,0.0,5,22.9,1.0375371492659
0.0,0.0,0.0,0.0,0.0,10,25.3,0.908677820856
0.0,0.0,0.0,0.0,0.0,10,25.3,1.1047786638559
0.0,0.0,0.0,0.0,0.0,10,25.3,0.98712318415857
0.0,0.0,0.0,0.0,0.0,10,25.3,1.0432625985256
0.0,0.0,0.0,0.0,0.0,10,25.3,0.95615773260389
0.0,0.0,0.0,0.0,0.0,30,25.1,1.029344212054
0.0,0.0,0.0,0.0,0.0,30,25.1,0.90850714755437
0.0,0.0,0.0,0.0,0.0,30,25.1,1.103830138158
0.0,0.0,0.0,0.0,0.0,30,25.1,1.0138177011917
0.0,0.0,0.0,0.0,0.0,30,25.1,0.94450080104196
0.0,0.0,0.0,0.0,0.0,60,24.3,0.99772782206115
0.0,0.0,0.0,0.0,0.0,60,24.3,1.0657583688681
0.0,0.0,0.0,0.0,0.0,60,24.3,0.99216139508162
