Gly (mol/L),DMSO (mol/L),PG (mol/L),EG (mol/L),FA (mol/L),Exp Time (min),Temp (°C),Cell Viab (%)
0.0,0.0,0.0,0.0,0.0,5,25.75,0.91194671087964
0.0,0.0,0.0,0.0,0.0,5,25.75,1.0160813096894
0.0,0.0,0.0,0.0,0.0,5,25.75,1.0371753854127
0.0,0.0,0.0,0.0,0.0,5,25.75,1.0501721440171
0.0,0.0,0.0,0.0,0.0,5,25.75,0.98462445000116
0.0,0.0,0.0,0.0,0.0,10,25.2,1.0000128409935
0.0,0.0,0.0,0.0,0.0,10,25.2,1.0234495370345
0.0,0.0,0.0,0.0,0.0,10,25.2,1.0151459390893
0.0,0.0,0.0,0.0,0.0,10,25.2,0.88805903303829
0.0,0.0,0.0,0.0,0.0,10,25.2,1.0733326498444
0.0,0.0,0.0,0.0,0.0,30,25.75,0.89503786748885
0.0,0.0,0.0,0.0,0.0,30,25.75,1.0546971534405
0.0,0.0,0.0,0.0,0.0,30,25.75,0.94238106767073
0.0,0.0,0.0,0.0,0.0,30,25.75,1.081902039119
0.0,0.0,0.0,0.0,0.0,30,25.75,1.0259818722809
0.0,0.0,0.0,0.0,0.0,60,25.5,1.0770777514541
0.0,0.0,0.0,0.0,0.0,60,25.5,0.022936572803524
0.0,0.0,0.0,0.0,0.0,60,25.5,1.4956172464953
0.0,0.0,0.0,0.0,0.0,60,25.5,1.2848903214555
0.0,0.0,0.0,0.0,0.0,60,25.5,1.1194781077916
2.3333333333333335,2.3333333333333335,2.3333333333333335,0.0,0.0,5,25.75,0.94579883232375
2.3333333333333335,2.3333333333333335,2.3333333333333335,0.0,0.0,5,25.75,0.88860798098561
2.3333333333333335,2.3333333333333335,2.3333333333333335,0.0,0.0,5,25.75,0.98330757883899
2.3333333333333335,2.3333333333333335,2.3333333333333335,0.0,0.0,5,25.75,0.87745463866424
2.3333333333333335,2.3333333333333335,2.3333333333333335,0.0,0.0,5,25.75,0.9676377415724
2.3333333333333335,2.3333333333333335,2.3333333333333335,0.0,0.0,10,25.2,0.77604607127906
2.3333333333333335,2.3333333333333335,2.3333333333333335,0.0,0.0,10,25.2,1.0572552516931
