Gly (mol/L),DMSO (mol/L),PG (mol/L),EG (mol/L),FA (mol/L),k_artigo
0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0002950000068544261
3.0,0.0,0.0,0.0,0.0,0.0020176000077477313
5.0,0.0,0.0,0.0,0.0,0.004962380933343006
7.0,0.0,0.0,0.0,0.0,0.009632960155617418
10.0,0.0,0.0,0.0,0.0,0.03939723627857152
0.0,1.0,0.0,0.0,0.0,0.0006540000537493025
0.0,3.0,0.0,0.0,0.0,0.000656765783283639
0.0,5.0,0.0,0.0,0.0,0.0008938871197187524
0.0,7.0,0.0,0.0,0.0,0.0065069563391434646
0.0,10.0,0.0,0.0,0.0,0.1745852488950309
0.0,0.0,1.0,0.0,0.0,3.232710481515111e-09
0.0,0.0,3.0,0.0,0.0,0.00011142687319488207
0.0,0.0,5.0,0.0,0.0,0.014974265410912294
0.0,0.0,7.0,0.0,0.0,0.3525511523380206
0.0,0.0,10.0,0.0,0.0,10.460846065082137
0.0,0.0,0.0,1.0,0.0,1.0117310277783977e-11
0.0,0.0,0.0,3.0,0.0,3.487291100895736e-07
0.0,0.0,0.0,5.0,0.0,4.490242647238422e-05
0.0,0.0,0.0,7.0,0.0,0.0011014059788874756
0.0,0.0,0.0,10.0,0.0,0.03273897431080086
0.0,0.0,0.0,0.0,1.0,0.0008850005378470349
0.0,0.0,0.0,0.0,3.0,0.0207333639573397
0.0,0.0,0.0,0.0,5.0,0.09212729202007125
0.0,0.0,0.0,0.0,7.0,0.29426009491929406
0.0,0.0,0.0,0.0,10.0,2.3964984521701824
0.5,0.5,0.0,0.0,0.0,0.0007401706914917097
1.5,1.5,0.0,0.0,0.0,0.001235741924897265
2.5,2.5,0.0,0.0,0.0,0.0021246108968478034
3.5,3.5,0.0,0.0,0.0,0.004952990975839558
5.0,5.0,0.0,0.0,0.0,0.056091693218489835
0.5,0.0,0.5,0.0,0.0,0.0007146243152771018
1.5,0.0,1.5,0.0,0.0,0.0006081383659749546
2.5,0.0,2.5,0.0,0.0,0.0025443297424371384
3.5,0.0,3.5,0.0,0.0,0.0290853871322059
5.0,0.0,5.0,0.0,0.0,0.7915794203063833
0.5,0.0,0.0,0.5,0.0,8.671409028810536e-05
1.5,0.0,0.0,1.5,0.0,0.0005802950498618453
2.5,0.0,0.0,2.5,0.0,0.0014157609173823511
3.5,0.0,0.0,3.5,0.0,0.0030541848273870622
5.0,0.0,0.0,5.0,0.0,0.019721648342590128
0.5,0.0,0.0,0.0,0.5,0.0001812884792683998
1.5,0.0,0.0,0.0,1.5,0.0029088752013794994
2.5,0.0,0.0,0.0,2.5,0.007395291008180239
3.5,0.0,0.0,0.0,3.5,0.01612315698989662
5.0,0.0,0.0,0.0,5.0,0.04144269172652271
0.0,0.5,0.5,0.0,0.0,0.0006534120071239202
0.0,1.5,1.5,0.0,0.0,0.0006683906174789774
0.0,2.5,2.5,0.0,0.0,0.0022307919411083924
0.0,3.5,3.5,0.0,0.0,0.03463182729782959
0.0,5.0,5.0,0.0,0.0,0.8479923599173749
0.0,0.5,0.0,0.5,0.0,0.000653424563329273
0.0,1.5,0.0,1.5,0.0,0.0006551706223962862
0.0,2.5,0.0,2.5,0.0,0.0007621171664502502
0.0,3.5,0.0,3.5,0.0,0.0032883551102272303
0.0,5.0,0.0,5.0,0.0,0.07892982843550413
0.0,0.5,0.0,0.0,0.5,0.0007611879777058406
0.0,1.5,0.0,0.0,1.5,0.0027280626201115544
0.0,2.5,0.0,0.0,2.5,0.008562164515257318
0.0,3.5,0.0,0.0,3.5,0.023645827371085875
0.0,5.0,0.0,0.0,5.0,0.1598754619682594
0.0,0.0,0.5,0.5,0.0,0.0006269202847344194
0.0,0.0,1.5,1.5,0.0,6.506005525303023e-06
0.0,0.0,2.5,2.5,0.0,0.000712899770745795
0.0,0.0,3.5,3.5,0.0,0.015453108267271328
0.0,0.0,5.0,5.0,0.0,0.3989411075418875
0.0,0.0,0.5,0.0,0.5,0.000747977663802722
0.0,0.0,1.5,0.0,1.5,0.0035070597405524595
0.0,0.0,2.5,0.0,2.5,0.01837980195251549
0.0,0.0,3.5,0.0,3.5,0.1819790146661753
0.0,0.0,5.0,0.0,5.0,4.541264161206672
0.0,0.0,0.0,0.5,0.5,0.00011157685512937015
0.0,0.0,0.0,1.5,1.5,0.002887444165608473
0.0,0.0,0.0,2.5,2.5,0.008914948317808832
0.0,0.0,0.0,3.5,3.5,0.026811222765907056
0.0,0.0,0.0,5.0,5.0,0.22220108217860363
2.333333333333333,2.333333333333333,2.333333333333333,0.0,0.0,0.013595405420435618
2.333333333333333,2.333333333333333,0.0,2.333333333333333,0.0,0.0031886046114572896
2.333333333333333,2.333333333333333,0.0,0.0,2.333333333333333,0.00535874704126478
2.333333333333333,0.0,2.333333333333333,2.333333333333333,0.0,0.007226797030197135
2.333333333333333,0.0,2.333333333333333,0.0,2.333333333333333,0.018199928659197406
2.333333333333333,0.0,0.0,2.333333333333333,2.333333333333333,0.0057183598773905995
0.0,2.333333333333333,2.333333333333333,2.333333333333333,0.0,0.010136675402708118
0.0,2.333333333333333,2.333333333333333,0.0,2.333333333333333,0.03302834534836048
0.0,2.333333333333333,0.0,2.333333333333333,2.333333333333333,0.008425447863872665
0.0,0.0,2.333333333333333,2.333333333333333,2.333333333333333,0.030521361708851343
