Gly (mol/L),DMSO (mol/L),PG (mol/L),EG (mol/L),FA (mol/L),k_pinn,loss_final
0.0,0.0,0.0,0.0,0.0,0.0009365558507852,0.0007085315301083
0.0,0.0,0.0,0.0,1.0,0.0011592161608859,0.0040300586260855
0.0,0.0,0.0,0.0,3.0,0.028137233108282,0.0234904251992702
0.0,0.0,0.0,0.0,5.0,0.2079605907201767,0.0318643748760223
0.0,0.0,0.0,0.0,7.0,0.4008122086524963,0.0044322945177555
0.0,0.0,0.0,0.0,10.0,0.7335132956504822,0.0031809238716959
0.0,0.0,0.0,0.5,0.5,0.0009952761465683,0.0107849659398198
0.0,0.0,0.0,1.0,0.0,0.0008106958703137,0.0070834499783813
0.0,0.0,0.0,1.5,1.5,0.0015077251009643,0.0045786215923726
0.0,0.0,0.0,2.5,2.5,0.0073226755484938,0.0098816798999905
0.0,0.0,0.0,3.0,0.0,0.000646143394988,0.0054098526015877
0.0,0.0,0.0,3.5,3.5,0.0962478294968605,0.0935254544019699
0.0,0.0,0.0,5.0,0.0,0.0010213592322543,0.0111188199371099
0.0,0.0,0.0,5.0,5.0,0.2476719319820404,0.0198107697069644
0.0,0.0,0.0,7.0,0.0,0.000728752464056,0.0065126409754157
0.0,0.0,0.0,10.0,0.0,0.0369204990565776,0.0041590919718146
0.0,0.0,0.5,0.0,0.5,0.0014867216814309,0.0060961432754993
0.0,0.0,0.5,0.5,0.0,0.0009360236581414,0.007412975654006
0.0,0.0,1.0,0.0,0.0,0.0007374095730483,0.0129385590553283
0.0,0.0,1.5,0.0,1.5,0.0014360864879563,0.0052299350500106
0.0,0.0,1.5,1.5,0.0,0.0010227388702332,0.0062297917902469
0.0,0.0,2.5,0.0,2.5,0.0594358406960964,0.0530833676457405
0.0,0.0,2.5,2.5,0.0,0.000926072418224,0.0063721379265189
0.0,0.0,3.0,0.0,0.0,0.001303918659687,0.0022912183776497
0.0,0.0,3.5,0.0,3.5,0.2378156781196594,0.0233747474849224
0.0,0.0,3.5,3.5,0.0,0.0140430005267262,0.011586938984692
0.0,0.0,5.0,0.0,0.0,0.0175360739231109,0.0328820645809173
0.0,0.0,5.0,0.0,5.0,0.7007125616073608,0.00128758570645
0.0,0.0,5.0,5.0,0.0,0.7095024585723877,0.0006339600076898
0.0,0.0,7.0,0.0,0.0,0.4029130041599273,0.0002669676905497
0.0,0.0,10.0,0.0,0.0,0.7283217906951904,0.0014120516134425
0.0,0.5,0.0,0.0,0.5,0.0014695682330057,0.0115180453285574
0.0,0.5,0.0,0.5,0.0,0.0009236821206286,0.0047155953943729
0.0,0.5,0.5,0.0,0.0,0.0013034667354077,0.0166678763926029
0.0,1.0,0.0,0.0,0.0,0.0008394948090426,0.0149960946291685
0.0,1.5,0.0,0.0,1.5,0.0009040615404956,0.0038791557308286
0.0,1.5,0.0,1.5,0.0,0.0009589480469003,0.002344989683479
0.0,1.5,1.5,0.0,0.0,0.0026395882014185,0.0032410253770649
0.0,2.5,0.0,0.0,2.5,0.0077125946991145,0.0081242015585303
0.0,2.5,0.0,2.5,0.0,0.0009812507778406,0.0015022353036329
0.0,2.5,2.5,0.0,0.0,0.0009416998364031,0.0125483348965644
0.0,3.0,0.0,0.0,0.0,0.0013649320462718,0.0057949055917561
0.0,3.5,0.0,0.0,3.5,0.0172283798456192,0.0147355170920491
0.0,3.5,0.0,3.5,0.0,0.0031004827469587,0.0034938238095492
0.0,3.5,3.5,0.0,0.0,0.0472807548940181,0.0269724689424037
0.0,5.0,0.0,0.0,0.0,0.0166753940284252,0.0635571628808975
0.0,5.0,0.0,0.0,5.0,0.1703805476427078,0.0083705186843872
0.0,5.0,0.0,5.0,0.0,0.0791929736733436,0.0086450260132551
